source_file,account_path,name,enabled,type,action,target_folder,condition,conditions_count,fields,operators
C:\Users\gines\AppData\Roaming\Thunderbird\Profiles\i2blparj.default\ImapMail\imap.serviciodecorreo.es\msgFilterRules.dat,ImapMail/imap.serviciodecorreo.es,Remitente es: facturas@borgandbeck.com,yes,273,Move to folder,INBOX/BORG &- BECK,"OR (from,is,facturas@borgandbeck.com) OR (from,contains,@borgandbeck.com)",2,from,contains;is
C:\Users\gines\AppData\Roaming\Thunderbird\Profiles\i2blparj.default\Mail\Local Folders\msgFilterRules.dat,Mail/Local Folders,Asunto contiene: INFORMACION NUEVA ENTRADA DE ALMACEN NEUMATICOS,yes,145,Move to folder,Trash,"AND (subject,contains,INFORMACION NUEVA ENTRADA DE ALMACEN NEUMATICOS)",1,subject,contains
C:\Users\gines\AppData\Roaming\Thunderbird\Profiles\i2blparj.default\Mail\Local Folders\msgFilterRules.dat,Mail/Local Folders,Remitente es: contabilidad2@localizadorsherlog.es,yes,17,Move to folder,LOCALIZADOR,"AND (from,is,contabilidad2@localizadorsherlog.es)",1,from,is
C:\Users\gines\AppData\Roaming\Thunderbird\Profiles\i2blparj.default\Mail\Local Folders\msgFilterRules.dat,Mail/Local Folders,Remitente es: pili@skrit.es,yes,17,Move to folder,SKRIT INFORMATICA,"AND (from,ends with,@skrit.es)",1,from,ends with
C:\Users\gines\AppData\Roaming\Thunderbird\Profiles\i2blparj.default\Mail\mail.gira.net\msgFilterRules.dat,Mail/mail.gira.net,Remitente contiene: @verasur.es,yes,273,Move to folder,VERASUR,"OR (from,contains,@verasur.es)",1,from,contains
C:\Users\gines\AppData\Roaming\Thunderbird\Profiles\i2blparj.default\Mail\mail.gira.net\msgFilterRules.dat,Mail/mail.gira.net,Remitente es: administracion@repuestosvicente.es,yes,273,Move to folder,REPUESTOS VICENTE,"OR (from,is,administracion@repuestosvicente.es)",1,from,is
C:\Users\gines\AppData\Roaming\Thunderbird\Profiles\i2blparj.default\Mail\mail.gira.net\msgFilterRules.dat,Mail/mail.gira.net,Remitente es: interjun@interjun.com,yes,273,Move to folder,INTERNACIONAL DE JUNTAS,"AND (from,is,interjun@interjun.com)",1,from,is
C:\Users\gines\AppData\Roaming\Thunderbird\Profiles\i2blparj.default\Mail\mail.gira.net\msgFilterRules.dat,Mail/mail.gira.net,Remitente es: info@a92parts.es,yes,17,Move to folder,A92 PARTS,"OR (from,is,info@a92parts.es) OR (from,contains,a92parts.es)",2,from,contains;is
C:\Users\gines\AppData\Roaming\Thunderbird\Profiles\i2blparj.default\Mail\mail.gira.net\msgFilterRules.dat,Mail/mail.gira.net,Remitente es: arspj@ficosa.com,yes,273,Move to folder,SPJ0f44851e,"AND (from,is,arspj@ficosa.com)",1,from,is
C:\Users\gines\AppData\Roaming\Thunderbird\Profiles\i2blparj.default\Mail\mail.gira.net\msgFilterRules.dat,Mail/mail.gira.net,Remitente es: dmunilla@snovit.eu,yes,273,Copy to folder,COMERCIAL JOPE,"OR (from,is,dmunilla@snovit.eu) OR (from,is,@snovit.eu)",2,from,is
C:\Users\gines\AppData\Roaming\Thunderbird\Profiles\i2blparj.default\Mail\mail.gira.net\msgFilterRules.dat,Mail/mail.gira.net,Remitente es: jcentano@vermaat.es,yes,273,Move to folder,VERMAT,"OR (from,is,jcentano@vermaat.es) OR (from,is,@vermaat.es)",2,from,is
C:\Users\gines\AppData\Roaming\Thunderbird\Profiles\i2blparj.default\Mail\mail.gira.net\msgFilterRules.dat,Mail/mail.gira.net,Remitente es: ventas5@3rgindustrial.com,yes,273,Move to folder,3RG,"OR (from,is,ventas5@3rgindustrial.com) OR (from,is,@3rgindustrial.com)",2,from,is
C:\Users\gines\AppData\Roaming\Thunderbird\Profiles\i2blparj.default\Mail\mail.gira.net\msgFilterRules.dat,Mail/mail.gira.net,Remitente es: redd@redd.es,yes,17,Move to folder,REDD PARTS,"OR (from,is,redd@redd.es) OR (from,contains,@redd.es)",2,from,contains;is
C:\Users\gines\AppData\Roaming\Thunderbird\Profiles\i2blparj.default\Mail\mail.gira.net\msgFilterRules.dat,Mail/mail.gira.net,Remitente es: pedidos@auto-eco.es,yes,273,Move to folder,AUXOL,"OR (from,is,pedidos@auto-eco.es) OR (from,contains,@auto-eco.es)",2,from,contains;is
C:\Users\gines\AppData\Roaming\Thunderbird\Profiles\i2blparj.default\Mail\mail.gira.net\msgFilterRules.dat,Mail/mail.gira.net,Remitente es: pedidos@utsch.es,yes,273,Move to folder,UTSCH ESPAÑA,"AND (from,is,pedidos@utsch.es)",1,from,is
C:\Users\gines\AppData\Roaming\Thunderbird\Profiles\i2blparj.default\Mail\mail.gira.net\msgFilterRules.dat,Mail/mail.gira.net,Remitente es: gomezmotortaller@gmail.com,yes,273,Move to folder,GOMEZ MOTOR,"AND (from,is,gomezmotortaller@gmail.com)",1,from,is
C:\Users\gines\AppData\Roaming\Thunderbird\Profiles\i2blparj.default\Mail\mail.gira.net\msgFilterRules.dat,Mail/mail.gira.net,Remitente es: administracion@repuestoshubri.com,yes,17,Move to folder,REPUESTOS HUBRI,"OR (from,is,administracion@repuestoshubri.com) OR (from,contains,@repuestoshubri.com)",2,from,contains;is
